	passenger_count	trip_distance	tip_amount	total_amount	tip_percentage
182	1	0.9	1.5	11.3	0.1327433628318584
183	1	1.91	1.0	10.3	0.0970873786407767
184	1	0.82	1.76	10.56	0.16666666666666666
185	1	1.0	2.3	11.6	0.1982758620689655
186	1	1.2	2.79	12.09	0.23076923076923078
187	1	1.05	0.0	11.8	0.0
188	6	1.84	2.36	14.16	0.16666666666666666
189	1	0.86	1.0	9.3	0.1075268817204301
190	1	1.06	0.0	13.8	0.0
191	1	2.68	2.0	17.8	0.11235955056179775
192	3	0.6	1.44	6.24	0.23076923076923075
193	1	0.3	0.96	5.76	0.16666666666666666
194	1	1.97	3.76	22.56	0.16666666666666666
195	1	1.0	0.0	7.8	0.0
196	1	0.5	2.0	12.3	0.16260162601626016
197	6	7.45	5.36	32.16	0.16666666666666669
198	1	1.74	1.76	10.56	0.16666666666666666
199	5	0.74	1.26	7.56	0.16666666666666669
200	1	1.87	0.0	14.3	0.0
201	1	1.24	1.0	12.3	0.08130081300813008
202	1	7.07	5.86	35.16	0.16666666666666669
203	1	0.81	0.0	5.3	0.0
204	2	1.08	1.75	13.55	0.12915129151291513
205	1	1.1	1.66	9.96	0.16666666666666666
206	1	1.6	2.56	15.36	0.16666666666666669
207	2	1.79	0.0	10.3	0.0
208	1	4.3	0.0	21.3	0.0
209	1	2.1	0.0	11.3	0.0
210	1	1.92	0.0	11.8	0.0
211	6	10.85	12.71	63.55	0.2
212	1	1.5	2.32	11.62	0.19965576592082615
213	1	0.5	0.0	6.3	0.0
214	2	1.53	1.66	9.96	0.16666666666666666
215	2	2.1	3.35	20.15	0.16625310173697272
216	1	0.46	1.45	7.25	0.19999999999999998
217	1	14.84	9.67	58.01	0.1666953973452853
218	1	4.3	4.53	32.83	0.13798355162960707
219	1	1.57	2.26	13.56	0.16666666666666666
220	1	1.0	0.0	13.3	0.0
221	2	1.46	0.0	9.3	0.0
222	5	6.53	0.0	19.8	0.0
223	1	2.1	0.0	14.3	0.0
224	1	0.38	1.26	7.56	0.16666666666666669
225	2	1.17	0.0	9.8	0.0
226	1	0.71	1.56	9.36	0.16666666666666669
227	3	2.5	3.45	20.75	0.16626506024096385
228	5	2.14	0.0	12.8	0.0
229	1	1.2	0.0	8.3	0.0
230	1	1.1	1.5	11.3	0.1327433628318584
231	1	1.68	3.06	18.36	0.16666666666666669
232	6	4.2	0.0	17.3	0.0
233	1	1.27	1.0	9.3	0.1075268817204301
234	1	1.1	1.55	9.35	0.16577540106951874
235	1	0.96	1.0	10.3	0.0970873786407767
236	1	0.5	0.0	5.8	0.0
237	1	1.7	1.55	9.35	0.16577540106951874
238	1	18.32	3.6	61.94	0.058120762027768814
239	1	1.22	3.26	19.56	0.16666666666666666
240	1	4.45	0.0	22.8	0.0
241	1	2.1	1.5	21.8	0.06880733944954129
242	6	0.57	0.0	7.8	0.0
243	1	1.14	2.06	12.36	0.16666666666666669
244	1	1.6	0.0	11.3	0.0
245	1	2.3	0.0	11.8	0.0
246	1	0.0	0.0	3.3	0.0
247	2	1.15	0.0	9.8	0.0
248	1	1.4	3.3	16.6	0.19879518072289154
249	1	1.0	1.66	9.96	0.16666666666666666
250	1	1.5	0.0	10.8	0.0
251	6	1.48	2.2	11.0	0.2
252	1	4.31	0.0	30.8	0.0
253	1	1.04	1.0	10.3	0.0970873786407767
254	3	6.24	7.7	38.5	0.2
255	1	0.9	0.0	7.3	0.0
256	4	2.8	0.0	16.3	0.0
257	1	5.86	0.0	24.3	0.0
258	5	3.73	3.36	20.16	0.16666666666666666
259	1	1.11	2.36	14.16	0.16666666666666666
260	1	0.8	1.25	7.55	0.16556291390728478
261	1	0.65	1.74	7.54	0.23076923076923075
