	passenger_count	trip_distance	total_amount
379	2	16.38	60.8
380	1	0.77	9.96
381	1	1.1	13.35
382	1	1.8	16.8
383	1	1.1	8.75
384	2	10.0	44.34
385	1	0.7	7.55
386	5	2.18	16.3
387	2	7.8	24.3
388	1	0.99	13.8
389	1	2.5	19.3
390	1	1.28	8.8
391	2	3.95	31.56
392	1	2.24	13.56
393	1	1.9	13.35
394	1	1.3	14.8
395	2	2.25	9.3
396	5	1.22	14.76
397	1	11.7	69.95
398	1	2.24	18.96
399	1	1.38	11.8
400	2	1.0	8.8
401	2	2.06	17.8
402	1	0.7	12.3
403	1	1.93	13.3
404	1	6.0	24.8
405	5	1.45	12.09
406	1	2.6	15.8
407	1	2.6	19.3
408	2	6.74	27.25
409	1	1.2	11.75
410	6	0.87	9.1
411	1	3.5	15.37
412	5	0.38	5.3
413	1	10.49	44.84
414	1	0.9	9.35
415	5	0.24	5.16
416	1	1.06	7.3
417	1	1.2	14.3
418	2	1.47	10.8
419	4	0.8	9.95
420	2	0.85	11.0
421	6	1.05	14.76
422	1	1.5	15.3
423	2	1.27	17.3
424	1	2.0	14.15
425	1	2.0	12.8
426	6	12.72	57.96
427	1	0.8	8.8
428	1	1.7	12.8
429	1	0.52	5.8
430	1	0.8	9.35
431	1	1.33	9.36
432	1	3.6	16.3
433	1	0.5	10.8
434	3	1.39	8.8
435	1	1.3	12.42
436	1	1.3	6.8
437	1	1.51	12.3
438	1	2.4	16.56
439	2	1.46	12.3
440	1	0.9	6.3
441	1	1.56	11.3
442	2	1.9	15.3
443	6	1.55	14.12
444	2	6.31	23.3
445	6	3.22	14.3
446	1	0.9	7.8
447	1	12.5	57.92
448	2	15.25	71.29
449	1	1.82	14.3
450	2	1.46	8.8
451	1	1.91	12.3
452	1	5.5	23.15
453	1	0.55	7.25
454	1	2.89	27.25
455	1	5.56	39.12
456	1	1.1	7.3
457	1	4.76	45.3
458	1	1.0	13.8
459	1	1.1	7.8
460	3	2.1	16.55
461	4	1.1	10.8
462	1	1.6	13.55
463	6	1.78	11.3
464	3	0.8	14.15
465	2	11.16	59.21
466	1	1.57	11.16
467	1	1.1	9.8
468	1	0.99	8.16
469	2	1.03	7.3
470	1	0.9	7.3
471	1	1.6	12.96
472	1	0.67	4.8
473	1	3.5	24.8
474	1	7.86	29.16
475	1	1.8	11.8
476	1	2.2	15.8
477	1	1.1	13.5
478	2	0.6	6.95
479	1	2.4	22.85
480	6	0.95	7.8
481	1	8.3	44.79
482	1	6.8	40.56
483	1	0.19	6.8
484	1	1.2	14.8
485	1	0.78	6.3
486	1	2.23	17.25
487	2	0.4	5.75
488	2	10.99	51.14
489	1	4.4	23.3
490	1	1.06	13.5
491	1	0.9	8.8
492	1	2.2	18.3
493	1	2.35	21.36
494	1	2.9	26.15
495	1	1.26	13.8
496	2	1.0	9.8
497	5	2.94	14.8
498	3	0.8	9.8
499	2	0.4	5.8
500	1	1.6	10.3
501	1	1.8	14.8
502	6	2.81	12.8
503	1	1.4	12.35
504	1	4.7	33.5
505	1	2.1	13.8
506	1	4.11	20.38
507	1	0.8	9.3
508	1	0.9	7.3
509	1	16.82	63.34
510	1	1.2	10.8
511	1	1.5	13.8
512	1	0.6	7.56
513	1	1.58	10.56
514	6	1.13	11.3
515	2	1.4	12.8
516	1	0.03	3.96
517	1	0.6	8.8
518	2	3.87	20.38
519	1	1.0	9.8
520	1	1.5	8.8
521	1	1.7	12.85
522	2	1.7	16.6
523	1	1.3	10.55
524	1	4.5	23.76
525	1	1.05	11.62
526	1	1.81	21.3
527	6	4.07	26.0
528	1	1.11	11.16
529	1	1.2	9.3
530	1	0.8	8.3
531	1	0.3	4.3
532	3	2.0	13.8
533	1	1.92	20.54
534	1	1.0	11.16
535	2	1.08	7.3
536	1	0.6	5.8
537	1	1.2	10.3
538	5	0.92	8.3
539	1	1.2	10.55
540	1	3.95	14.8
541	1	1.4	11.55
542	1	8.5	30.95
543	1	3.04	50.05
544	1	1.2	11.75
545	1	0.5	6.35
546	5	0.58	8.5
547	1	2.5	14.3
548	1	4.21	17.3
549	1	0.6	7.8
550	1	5.92	29.76
551	4	7.6	33.96
552	1	1.4	10.55
553	1	3.0	18.35
554	1	0.48	5.76
555	2	6.0	38.61
556	2	0.79	8.19
557	1	12.3	47.75
558	1	1.78	13.8
559	2	2.4	18.35
560	1	0.62	8.8
561	1	1.0	8.8
562	1	1.1	7.8
563	1	2.6	17.85
564	1	8.1	25.3
565	1	1.7	10.3
566	1	1.3	11.8
567	1	1.49	9.3
568	1	3.7	24.95
569	1	1.69	12.36
570	1	1.47	14.16
571	1	1.0	9.95
572	1	2.3	16.56
573	1	0.75	5.3
574	1	2.0	11.55
575	1	0.75	6.96
576	2	0.5	4.8
577	1	1.2	10.3
578	1	6.22	30.36
579	2	6.4	38.19
580	1	1.29	14.3
581	1	3.34	21.96
582	1	1.0	9.8
583	1	3.79	24.3
584	1	0.7	8.15
585	1	5.43	31.59
586	1	1.28	10.3
587	1	2.03	13.3
588	2	1.61	11.62
589	4	3.22	19.3
590	1	6.4	30.3
591	1	1.2	11.15
592	1	3.32	19.8
593	1	2.01	12.88
594	1	0.6	6.96
595	1	1.46	14.76
596	1	0.7	7.85
597	1	0.3	4.3
598	5	0.9	8.0
599	1	8.33	41.0
600	1	1.1	9.8
601	1	0.33	4.56
602	6	2.9	15.8
603	3	0.44	4.8
604	1	0.9	8.15
605	1	0.6	7.9
606	5	4.17	19.24
607	1	8.01	35.34
608	2	0.8	7.8
609	5	2.24	11.3
610	1	1.3	11.15
611	1	1.93	12.8
612	1	2.15	10.8
613	2	1.5	10.8
614	5	0.73	6.3
615	3	5.4	38.8
616	3	3.48	16.56
617	1	0.6	8.8
618	1	0.58	9.75
619	5	5.76	32.16
620	5	0.4	9.96
621	1	0.86	7.8
622	1	1.6	11.3
623	1	3.05	22.3
624	1	1.5	15.3
625	2	1.0	8.3
626	2	0.58	6.36
627	1	1.4	11.15
628	1	1.41	12.88
629	1	0.7	8.8
630	1	1.73	21.62
631	1	6.0	32.85
632	1	0.7	9.8
633	1	0.4	6.88
634	1	3.49	24.36
635	1	0.7	7.3
636	1	1.76	14.16
637	1	1.0	8.75
638	1	3.2	27.95
639	1	5.5	35.15
640	5	1.22	12.3
641	1	19.72	58.34
642	1	0.5	6.36
643	1	0.71	6.8
644	1	0.5	7.8
645	1	1.1	9.3
646	1	1.0	7.3
647	4	1.1	9.96
648	1	1.16	8.76
649	1	2.0	15.95
650	1	1.9	14.55
651	1	3.7	17.8
652	1	0.6	9.75
653	1	2.3	21.3
654	1	2.68	22.3
655	1	0.64	8.16
656	1	2.1	21.6
657	1	0.0	15.35
658	2	0.64	9.12
659	1	1.59	11.3
660	1	0.0	3.3
661	1	2.08	16.56
662	1	1.4	16.3
663	1	17.87	69.76
664	1	1.4	14.3
665	2	1.7	12.3
666	1	2.68	21.96
667	2	1.61	17.16
668	1	2.0	15.3
669	1	6.0	29.15
670	1	0.7	7.5
671	1	1.0	11.75
672	1	0.6	6.3
673	5	18.08	58.34
674	6	4.71	21.96
675	2	1.16	10.8
676	6	1.74	14.76
677	1	1.7	8.8
678	1	1.24	14.12
